impl,mode,bytes,proc_ms,io_ms,VmRSS_KiB,alpha,align,misalign
serial,upper,16384,0.012,0.157,3256,10,32,7
cuda,upper,16384,133.476,0.183249,98452,10,32,7
serial,lower,16384,0.015,0.081,3232,10,32,7
cuda,lower,16384,134.558,0.179601,98344,10,32,7
serial,upper,16384,0.017,0.091,3512,20,32,0
cuda,upper,16384,132.245,0.200009,98532,20,32,0
serial,lower,16384,0.018,0.089,3496,20,32,0
cuda,lower,16384,132.635,0.200511,98548,20,32,0
serial,upper,16384,0.027,0.079,3360,20,32,7
cuda,upper,16384,131.855,0.224452,98660,20,32,7
serial,lower,16384,0.018,0.104,3304,20,32,7
cuda,lower,16384,132.718,0.204798,98428,20,32,7
serial,upper,16384,0.029,0.094,3548,30,32,0
cuda,upper,16384,134.052,0.194909,98564,30,32,0
serial,lower,16384,0.024,0.087,3484,30,32,0
cuda,lower,16384,131.042,0.221969,98088,30,32,0
serial,upper,16384,0.025,0.138,3548,30,32,7
cuda,upper,16384,130.173,0.180984,98256,30,32,7
serial,lower,16384,0.023,0.095,3404,30,32,7
cuda,lower,16384,131.366,0.19566,98332,30,32,7
serial,upper,16384,0.046,0.080,3540,40,32,0
cuda,upper,16384,131.761,0.203334,98868,40,32,0
serial,lower,16384,0.029,0.081,3484,40,32,0
cuda,lower,16384,132.87,0.183019,98332,40,32,0
serial,upper,16384,0.034,0.075,3548,40,32,7
cuda,upper,16384,137.298,0.240101,98640,40,32,7
serial,lower,16384,0.050,0.159,3400,40,32,7
cuda,lower,16384,133.01,0.210317,98396,40,32,7
serial,upper,16384,0.039,0.133,3548,50,32,0
cuda,upper,16384,130.914,0.216008,98696,50,32,0
serial,lower,16384,0.036,0.091,3292,50,32,0
cuda,lower,16384,132.026,0.244158,98576,50,32,0
serial,upper,16384,0.055,0.079,3548,50,32,7
cuda,upper,16384,133.775,0.229272,98144,50,32,7
serial,lower,16384,0.035,0.089,3500,50,32,7
cuda,lower,16384,131.854,0.23385,98264,50,32,7
serial,upper,16384,0.066,0.092,3456,60,32,0
cuda,upper,16384,133.647,0.195071,98540,60,32,0
serial,lower,16384,0.044,0.096,3512,60,32,0
cuda,lower,16384,129.343,0.205158,98500,60,32,0
serial,upper,16384,0.099,0.116,3176,60,32,7
cuda,upper,16384,132.464,0.214444,98568,60,32,7
serial,lower,16384,0.041,0.090,3548,60,32,7
cuda,lower,16384,136.13,0.184991,98600,60,32,7
serial,upper,16384,0.050,0.091,3540,70,32,0
cuda,upper,16384,132.525,0.193218,98572,70,32,0
serial,lower,16384,0.047,0.087,3304,70,32,0
cuda,lower,16384,131.941,0.206791,98308,70,32,0
serial,upper,16384,0.062,0.146,3484,70,32,7
cuda,upper,16384,136.397,0.187777,98408,70,32,7
serial,lower,16384,0.047,0.111,3540,70,32,7
cuda,lower,16384,133.154,0.204957,98100,70,32,7
